"concentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.01552e-01,1,3.16000e-01,3.16000e-01,5.15000e-01,0.00000e+00
3.01440e-01,1,3.17000e-01,3.17000e-01,5.15000e-01,0.00000e+00
3.01328e-01,1,3.18000e-01,3.18000e-01,5.15000e-01,0.00000e+00
3.01217e-01,1,3.19000e-01,3.19000e-01,5.15000e-01,0.00000e+00
3.01107e-01,1,3.20000e-01,3.20000e-01,5.15000e-01,0.00000e+00
3.00997e-01,1,3.21000e-01,3.21000e-01,5.15000e-01,0.00000e+00
3.00888e-01,1,3.22000e-01,3.22000e-01,5.15000e-01,0.00000e+00
3.00779e-01,1,3.23000e-01,3.23000e-01,5.15000e-01,0.00000e+00
3.00670e-01,1,3.24000e-01,3.24000e-01,5.15000e-01,0.00000e+00
3.00562e-01,1,3.25000e-01,3.25000e-01,5.15000e-01,0.00000e+00
3.00455e-01,1,3.26000e-01,3.26000e-01,5.15000e-01,0.00000e+00
